id,raw_title,description,price
1,تنورة  White  SkirtSizeLsamsung,Product description for تنورة  White  SkirtSizeLsamsung,336.2
2,تنورة   بنفسجي  مقاسOne Size ماركة LG,,982.73
3,Adidas Grey Speaker   XXL,Product description for Adidas Grey Speaker   XXL,
4,Prada&nbsp;&nbsp;&nbsp;Red&nbsp;Monitor,Product description for Prada&nbsp;&nbsp;&nbsp;Red&nbsp;Monitor,20.64
5,شورت بنفسجي مقاس   One Size   ماركة Puma,Product description for شورت بنفسجي مقاس   One Size   ماركة Puma,248.38
6,جينزرمادي  مقاس Sماركة   Casio,Product description for جينزرمادي  مقاس Sماركة   Casio,225.02
7,حزام وردي  مقاسS  ماركة lg,,
8,LG  Green Headphones,Product description for LG  Green Headphones,329.22
9,هودي&nbsp;&nbsp;&nbsp;أسودمقاسXL&nbsp;&nbsp;&nbsp;ماركة,Product description for هودي&nbsp;&nbsp;&nbsp;أسودمقاسXL&nbsp;&nbsp;&nbsp;ماركة,275.58
10,Zara  Green  Hat   XL,Product description for Zara  Green  Hat   XL,308.3
11,LG  Grey   Laptop  L,Product description for LG  Grey   Laptop  L,23.53
12,هودي   أصفر  مقاس   ماركة  Sony,Product description for هودي   أصفر  مقاس   ماركة  Sony,841.43
13,هاتف ذكي أبيض   مقاس  One Size ماركة  Ray-Ban,Product description for هاتف ذكي أبيض   مقاس  One Size ماركة  Ray-Ban,923.88
14,تابلت&nbsp;&nbsp;Purple&nbsp;LaptopSizeXL&nbsp;&nbsp;Prada,Product description for تابلت&nbsp;&nbsp;Purple&nbsp;LaptopSizeXL&nbsp;&nbsp;Prada,155.09
15,وشاح   GreyWallet Size   LG,,160.61
16,جينز أبيض  مقاسXXL ماركة  sony,Product description for جينز أبيض  مقاسXXL ماركة  sony,
17,SamsungGreyCoat L,Product description for SamsungGreyCoat L,44.45
18,White  Jacket  S,Product description for White  Jacket  S,62.44
19,هاتف ذكي أصفر   مقاس   XL ماركةZara,Product description for هاتف ذكي أصفر   مقاس   XL ماركةZara,442.55
20,لابتوب  رماديمقاس   XL   ماركة Puma,Product description for لابتوب  رماديمقاس   XL   ماركة Puma,336.93
21,Apple  Purple Smartphone S,,403.81
22,تنورةأزرقمقاسS ماركة,Product description for تنورةأزرقمقاسS ماركة,173.83
23,مكبر صوت  أصفر مقاس   L ماركة,Product description for مكبر صوت  أصفر مقاس   L ماركة,95.08
24,Black  T-Shirt  M,Product description for Black  T-Shirt  M,57.28
25,Grey   Dress XL,,
26,قميص  أصفر  مقاسS ماركة,Product description for قميص  أصفر  مقاسS ماركة,525.34
27,مكبر صوت  Blue   Laptop Size  M,Product description for مكبر صوت  Blue   Laptop Size  M,737.65
28,معطف أزرق مقاسS  ماركة  Samsung,Product description for معطف أزرق مقاسS  ماركة  Samsung,569.86
29,تنورة   أصفر  مقاس  Sماركة,Product description for تنورة   أصفر  مقاس  Sماركة,
30,قلادة  أخضر   مقاسماركةGucci,Product description for قلادة  أخضر   مقاسماركةGucci,
31,ماوس   Blue   Mouse Size,Product description for ماوس   Blue   Mouse Size,338.25
32,H&M  Yellow  Skirt,Product description for H&M  Yellow  Skirt,809.59
33,Red   WatchL,,857.64
34,Nike   Black   Tablet   XL,Product description for Nike   Black   Tablet   XL,494.58
35,Black MonitorS,Product description for Black MonitorS,764.21
36,Adidas  Purple  Dress  One Size,Product description for Adidas  Purple  Dress  One Size,45.67
37,Fossil White Scarf   M,Product description for Fossil White Scarf   M,188.31
38,NikeBlack Speaker  L,Product description for NikeBlack Speaker  L,103.1
39,Fossil PinkCamera,Product description for Fossil PinkCamera,216.82
40,قبعة White  WalletSize  XL  h&m,Product description for قبعة White  WalletSize  XL  h&m,177.53
41,شورتPurple   HoodieSize L   Gucci,Product description for شورتPurple   HoodieSize L   Gucci,231.41
42,lgGrey&nbsp;&nbsp;&nbsp;Coat&nbsp;L,Product description for lgGrey&nbsp;&nbsp;&nbsp;Coat&nbsp;L,809.12
43,Apple  Brown   Backpack  L,Product description for Apple  Brown   Backpack  L,899.44
44,Gucci   Purple T-Shirt,Product description for Gucci   Purple T-Shirt,629.7
45,Blue  Hat  One Size,Product description for Blue  Hat  One Size,560.37
46,Pink  Shorts  S,Product description for Pink  Shorts  S,787.98
47,ساعة بنفسجي مقاس  Sماركة,Product description for ساعة بنفسجي مقاس  Sماركة,299.52
48,قلادةWhite Backpack Size  XXL Fossil,Product description for قلادةWhite Backpack Size  XXL Fossil,51.0
49,قميص أسودمقاسS   ماركة Gucci,Product description for قميص أسودمقاسS   ماركة Gucci,380.32
50,NikePurple   MonitorM,,620.92
51,FossilPurpleT-ShirtS,Product description for FossilPurpleT-ShirtS,698.73
52,تابلت   بنفسجي  مقاس   ماركة Casio,Product description for تابلت   بنفسجي  مقاس   ماركة Casio,386.66
53,كاميرا  أخضرمقاس  XLماركة  Gucci,Product description for كاميرا  أخضرمقاس  XLماركة  Gucci,689.47
54,قلادةRed   SunglassesSize   XXL   LG,,914.21
55,فستان  بنفسجيمقاس  One Size  ماركة,Product description for فستان  بنفسجيمقاس  One Size  ماركة,256.38
56,Ray-Ban  Red Socks   L,Product description for Ray-Ban  Red Socks   L,289.4
57,H&M  Red   HeadphonesL,,720.24
58,جوارب   رمادي مقاس   One Size ماركة  fossil,Product description for جوارب   رمادي مقاس   One Size ماركة  fossil,873.06
59,جينز  بنفسجيمقاس XL   ماركة Fossil,Product description for جينز  بنفسجيمقاس XL   ماركة Fossil,853.11
60,جينز  Grey Shorts Size  h&m,Product description for جينز  Grey Shorts Size  h&m,147.71
61,جوارب&nbsp;Pink&nbsp;&nbsp;&nbsp;SkirtSizeBose,Product description for جوارب&nbsp;Pink&nbsp;&nbsp;&nbsp;SkirtSizeBose,170.75
62,casio  Green Skirt XXL,,646.44
63,كاميرا   Red   Headphones  SizeMPuma,Product description for كاميرا   Red   Headphones  SizeMPuma,68.82
64,Zara   Red   Sweater,Product description for Zara   Red   Sweater,263.94
65,SonyYellow   WatchXXL,Product description for SonyYellow   WatchXXL,666.27
66,Red  Keyboard  XL,,29.14
67,وشاحأخضر   مقاس  One Size ماركة,Product description for وشاحأخضر   مقاس  One Size ماركة,817.61
68,Blue  T-Shirt  XL,,264.28
69,Blue  Tablet  XL,,810.08
70,جينز   أبيض  مقاس XL ماركة,,294.95
71,هاتف ذكي White   Camera  Size,Product description for هاتف ذكي White   Camera  Size,499.65
72,Pink  Camera,Product description for Pink  Camera,97.94
73,Casio Blue   Smartwatch One Size,Product description for Casio Blue   Smartwatch One Size,574.95
